token	category	subcategory	neckline	sleeve	length	volume	construction	pattern	decoration	material_appearance	main_colors	visual_personas	usage_limits	status	evidence
g0577	bottom	plain_pleated_wide_trousers	unknown	unknown	full_length	wide	front_pleats_pressed_vertical_lines	plain	low	matte_suiting_look	charcoal	mute,loop,noir	fit_unknown	ai_candidate	炭灰高腰打褶长宽裤，整齐中线和宽直裤脚，主面素。通用低装饰宽裤，与其他同款换色不能重复计为新廓形。
g0578	bottom	plain_slim_tapered_trousers	unknown	unknown	ankle	slim_tapered	flat_front_pressed_creases_slant_pockets	plain	low	smooth_woven_look	ice_blue	iced,loop,mute	fit_unknown	ai_candidate	冰蓝平腰窄锥裤、斜袋与中线，裤脚较收。比例不同于宽裤，清简利落来自版型不只浅蓝。
g0579	skirt	classic_pleated_a_midi	unknown	unknown	midi	full_a	regular_deep_pleats_side_waist_buckles	plain	low	matte_woven_look	navy	heir,loop,film	fit_unknown	ai_candidate	藏蓝大褶中长A裙、腰两侧棕小扣，整齐规则褶线。学院式几何而非复杂花层，能提供非裤装变化。
g0580	skirt	plain_natural_pleated_a_midi	unknown	unknown	midi	a_line	front_waist_pleats_wide_plain_hem	plain	low	linen_woven_look	taupe	ease,wabi,loop	fit_unknown	ai_candidate	浅褐自然织感中长A裙，腰前褶和素大摆。比多层破片安静，仍支持自然材质而不是WABI只能旧灰拼接。
g0581	skirt	soft_pastel_tiered_knit_skirt	unknown	unknown	midi	full_a	drawstring_pompoms_multiple_gathered_tiers	colorblock	 high	knit_fleece_woven_look	ivory,pale_pink	melt,flou	thermal_unknown;walking_ease_unknown	ai_candidate	奶油粉层层针织绒感中长裙，抽绳毛球与不等层宽，外形蓬软。明确软体积，不能仅因粉色与轻薄夏裙视为同季节重量。
g0582	skirt	natural_asymmetric_layered_long_skirt	unknown	unknown	long	full_a	elastic_waist_uneven_overlapping_panels	tonal_patchwork	medium	coarse_woven_look	taupe,olive,brown	wabi,void	walking_ease_unknown	ai_candidate	灰褐橄榄长A裙，松紧腰、多片斜摆交叠、下摆宽松。自然层次成立，但与既有多层灰裙高度相邻，需要家族去重。
g0583	skirt	floral_draped_long_wrap_skirt	unknown	unknown	long	flowing_a	side_tie_opaque_center_layered_sheer_side_ruffles	floral	 high	satin_chiffon_lace_look	pale_pink,sage,ivory	flou,melt	walking_ease_unknown	ai_candidate	浅粉绿长裙中央有平滑实体感内片，两側花纱蕾丝长层片波垂，腰側细系带。轻流动为主，后身覆盖与实物防透不由正面图保证。
g0584	dress	bright_corset_asymmetric_tiered_gown	sweetheart	straps	long	fitted_waist_full_skirt	structured_bodice_front_zip_uneven_tiers_drawcords	colorblock	 high	nylon_mesh_denim_look	cobalt,orange,lime,hot_pink	neon,oops,bolt	occasion_only;fit_unknown	ai_candidate	亮蓝橙束身长裙、荧绿粉层片不齐下摆，网面与亮面混合。高彩运动材料是NEON，高戏剧量需留创意场合，不默认日常。
g0585	dress	belted_denim_tulle_layered_dress	sweetheart	straps	midi	fitted_waist_a	belted_corset_asymmetric_denim_flap_tulle_underskirt	patchwork	 high	denim_leather_tulle_look	black,washed_blue,pale_pink	edge,oops	occasion_expression;fit_unknown	ai_candidate	黑洗蓝束胸肩带中长裙、腰带链条与不对称扣眼牛仔片，下摆粉黑网纱。硬软甜酷有明确主件，鞋包宜简。
g0586	dress	ornate_corset_tiered_gown	sweetheart	off_shoulder_drapes	floor	fitted_waist_full_skirt	laceup_bodice_side_swags_many_tiers_rosettes	floral_embroidery	 high	velvet_lace_satin_look	ivory,burgundy,dark_green	bolt,heir	occasion_only;walking_ease_unknown	ai_candidate	奶油酒红束腰落肩长礼服，深绿中央层裙与花刺绣、两側大垂裹。戏剧宫廷结构清晰，不当通勤或日常易穿。
g0587	dress	vintage_patch_corset_short_dress	sweetheart	straps	short	fitted_waist_full_a	paneled_bodice_multiple_uneven_skirt_tiers	patchwork	 high	denim_corduroy_tweed_lace_look	brown,washed_blue,olive,ivory	film,wabi,bolt	occasion_expression;fit_unknown	ai_candidate	棕洗蓝束腰细带短A裙，粗花呢、条绒与花边多层小裙摆。复古短比例有别长破片裙，仍是鲜明表达不是普通基础。
g0588	shoes	ink_square_toe_penny_loafers	unknown	unknown	low_cut	regular	square_almond_toe_wide_vamp_band_small_beads_low_block_heel	ink_botanical	medium	woven_leather_look	ivory,black,red	jade,heir,loop	comfort_unknown	ai_candidate	黑边乳白墨纹低跟乐福，宽横带位于前鞋面而非脚背玛丽珍位置，红绳小珠点饰。与g0492同墨纹乐福家族，不能按细节小变计独立鞋类。
g0589	shoes	angular_panel_stiletto_boots	unknown	unknown	mid_calf	slim	pointed_toe_diagonal_panels_double_buckle_straps_stiletto	tonal_colorblock	medium	leather_woven_look	black,gray,ivory	noir,edge	comfort_unknown	ai_candidate	黑灰乳白锐角中筒靴，双扣带、尖头与细高跟。强线条支持NOIR，跟型与穿着稳定未知，非日常舒适保证。
g0590	shoes	chunky_t_bar_mary_janes	unknown	unknown	low_cut	regular	t_bar_buckle_strap_round_toe_lug_sole_block_heel	tonal_colorblock	medium	leather_patent_look	black,burgundy	edge,heir,noir	comfort_unknown	ai_candidate	黑圆亮鞋头、T字脚背扣带，厚齿底粗跟和暗酒红包边。相较低乐福有真实厚重比例差异，可作硬软混搭脚部焦点。
g0591	shoes	raw_patch_chunky_trainers	unknown	unknown	low_cut	chunky	laceup_frayed_panels_layered_wave_sole	patchwork	 high	washed_denim_mesh_suede_look	gray,brown,washed_blue	void,film,wabi	comfort_unknown	ai_candidate	灰棕洗蓝系带运动鞋、毛边拼片和较厚波浪底。旧料复杂度高，不按同色自动与满层旧衣整套放行。
g0592	bag	mixed_lace_denim_messenger	unknown	unknown	unknown	wide_rectangle	asymmetric_flap_webbing_buckle_lace_strips_side_pouch	mixed_patchwork	 high	denim_suiting_lace_nylon_look	gray,denim_blue,lime,ivory	oops,neon	capacity_unknown	ai_candidate	灰西装斜盖、洗蓝主体、荧黄斜条和侧袋，白蕾丝与织带扣件。与g0512/g0528为异质拼包近邻，形状变化有限。
g0593	bag	plain_drawstring_block_bucket	unknown	unknown	unknown	rounded_bucket	drawstring_top_single_short_handle_contrast_base	colorblock	low	leather_wool_look	charcoal,taupe	mute,loop,ease	capacity_unknown	ai_candidate	炭灰抽绳软桶包配灰褐织感底，单提手无大型挂件。可中和复杂服装，比工具多袋桶包安静。
g0594	bag	sheer_draped_short_shoulder_bag	unknown	unknown	unknown	wide_low_crescent	curved_top_soft_swag_overlay_side_drops	tonal_colorblock	medium	sheer_satin_leather_look	ice_blue,lilac	iced,flou	capacity_unknown	ai_candidate	冰蓝浅紫横弧包上有薄纱垂褶和侧珠尾，窄肩带。与g0514同浅冷短肩包家族，差别为软垂而非几何片。
g0595	bag	classic_two_tone_shoulder_bag	unknown	unknown	unknown	wide_rectangle	curved_top_leather_corners_center_strap_buckle	colorblock	low	canvas_leather_look	navy,burgundy	heir,film,loop	capacity_unknown	ai_candidate	藏蓝布感方肩包配酒红弧口、四角与细肩带，中央窄扣带。经典安静通勤配件，大小容量未知。
g0596	hat	classic_light_beret	unknown	unknown	no_brim	soft_flat_crown	central_stem_leather_band	plain	low	felt_leather_look	ivory,tan	ease,heir,loop	head_fit_unknown	ai_candidate	奶油软贝雷帽配驼棕帽围和短顶柄，几乎与g0531同轮廓换色，作为颜色选择不计新帽型。
g0597	hat	soft_pastel_baseball_cap	unknown	unknown	curved_brim	panel_crown	soft_rib_front_fleece_side_panels_top_button	colorblock	low	rib_knit_fleece_look	ivory,pale_pink	melt,loop	head_fit_unknown;thermal_unknown	ai_candidate	奶油罗纹前冠、浅粉绒侧片与弯帽檐。软材质把常规棒球帽转为MELT邻近，但尺寸保暖仍未知。
g0598	scarf	natural_layered_fringe_wrap	unknown	unknown	long	wide_layered	triangular_stacked_panels_raw_fringe	tonal_patchwork	medium	coarse_woven_look	taupe,olive,brown	wabi,void	thermal_unknown	ai_candidate	灰褐橄榄多层尖垂宽围裹，毛边和自然织感清楚。与g0550高度近似，换垂法不能当有效新结构覆盖。
g0599	scarf	floral_sheer_lace_long_scarf	unknown	unknown	long	light_layered	uneven_sheer_tails_lace_edge	floral	medium	chiffon_lace_look	pale_pink,sage,ivory	flou,melt	drape_fit_unknown	ai_candidate	粉绿奶油薄花长巾、多片纱尾和蕾丝。与g0551同花色轻垂巾家族，围绕方式稍异不应提升丰富度计数。
g0600	accessory	bright_asymmetric_fabric_earrings	unknown	unknown	long_drop	statement	mismatched_mesh_bows_resin_loops_denim_tabs_metal_spike	colorblock	 high	nylon_denim_metal_resin_look	cobalt,orange,lime,hot_pink	neon,oops	wearing_weight_unknown	ai_candidate	蓝圆珠/橙菱耳钉两側不同，接荧绿粉网结、洗蓝尖片和金属长锥。高彩运动材质与异质错配并存，耳饰不是主衣色彩命中证据。
