token	status	structure	silhouette	main_visual_slots	layering	color_relation	main_colors	formality	wearability	expression	seasons	scenes	persona_scores	persona_evidence	conflicts	evidence
o0241	ai_candidate	pants	angular_fitted_shirt_plain_wide_pants	top	1	black_charcoal_with_patch_bag	black,charcoal	smart_casual	occasion_with_statement	typical	spring,autumn	social,creative	{"noir":0.83,"edge":0.63,"loop":0.45}	锐肩收腰尖摆上衣与素长裤形成强直线，NOIR证据来自结构而非单纯黑色	unknown	黑色翻领锐肩收腰长袖上衣配炭灰素宽裤，黄蓝灰拼包和黑乐福。主次较清晰，包作为次焦点，非默认低表达通勤。
o0242	ai_candidate	pants	plain_fitted_tank_wide_jeans	top,bottom	1	black_denim_with_bright_shoes	black,denim_blue	casual	everyday_with_statement	explore	summer	daily,travel	{"loop":0.77,"ease":0.62,"mute":0.54,"neon":0.29}	黑背心与宽牛仔是可复用基底，只有鞋亮色不足以构成NEON主衣表达	unknown	素黑圆领背心配蓝宽腿牛仔，藏蓝桶包与高彩厚底乐福。夏季基础裤装搭配的配件探索，须与素鞋版本同家族去重。
o0243	needs_review	pants	asymmetric_patch_blouse_bright_cargo_pants	top,bottom	1	ice_blue_charcoal_with_saturated_bottom	ice_blue,blue,orange,lime	casual	statement_not_daily	explore	spring,autumn	creative	{"oops":0.76,"neon":0.73,"edge":0.42}	上衣解构花纱与下装高彩运动各自成立，两件均强，素配件尚未解决主衣竞争	multiple_focal_competition	原图为蓝花纱灰西装丹宁拼袖衬衫与蓝橙绿粉大工装气球裤，灰包白厚底乐福。建议换素上衣或素裤，不以共同蓝色就认定上下协调。
o0244	ai_candidate	pants	corset_crop_asymmetric_patch_wide_pants	bottom,top	1	black_gray_denim_pink	black,gray,denim_blue,pink	casual	statement_not_daily	explore	spring,autumn	social,creative	{"edge":0.80,"oops":0.71,"noir":0.40}	短束腰与长错位裤建立高腰反差；相较长花袖版本，上衣体积减少，素鞋包提供留白	unknown	黑粉杯短束腰配灰蓝粉亮膜层片宽裤，素蓝布包和黑短靴。属于强表达探索，裤为主；不能把两个版本因同色都当易穿。
o0245	ai_candidate	pants	bright_crop_puff_shirt_plain_straight_pants	top	1	saturated_top_gray_bottom	blue,pink,orange,lime,gray	casual	everyday_with_statement	typical	spring,autumn	daily,creative	{"neon":0.81,"oops":0.60,"loop":0.43}	高彩短鼓袖与灰直裤形成一强一素，NEON依据在主上衣而非配件	unknown	高彩拼片短翻领鼓袖上装配浅灰直裤，灰托特和蓝玛丽珍。比满套拼贴更有主次，可作鲜明表达位，非素色偏好用户强行探索。
o0246	ai_candidate	pants	sleeveless_plain_shirt_tapered_trousers	top,bottom	1	ice_blue_ivory	ice_blue,ivory	casual	everyday_with_statement	easy	summer	daily,commute	{"iced":0.78,"loop":0.76,"heir":0.63,"edge":0.29}	无袖规整翻领与素锥裤清爽，包的粉黑层边只属局部，不代表主衣甜酷	unknown	浅蓝无袖衬衫、乳白前褶锥裤，黑粉花边包和蓝乐福。主体易穿且色板浅，颜色理由应来自上衣裤而非装饰包。
o0247	needs_review	pants	floral_band_shirt_complex_patch_wide_pants	bottom,top	1	ivory_blue_gray_pink	ivory,blue_gray,gray,pink	casual	statement_not_daily	explore	spring,autumn	creative	{"oops":0.69,"edge":0.62,"flou":0.48}	素形花衬衫比解构衬衫安静，但整幅花纹、复杂裤和链纱包仍同时设焦点	multiple_focal_competition	原图确认灰粉丹宁蕾丝双腿裤，白蓝花衬衫、黑粉链纱包、灰棕后绊鞋。建议先换素衬衫或素包再审，不因鞋安静就默认整体层次已清楚。
o0248	ai_candidate	skirt	plain_boxy_crop_top_decorated_short_pleated_skirt	skirt	1	charcoal_black_denim_pink	charcoal,black,denim_blue	casual	occasion_with_statement	typical	spring,summer	social,creative	{"edge":0.83,"oops":0.56,"noir":0.45}	短箱形素上衣压住带扣绑带短褶裙的装饰，甜酷重点集中下半身	unknown	炭灰圆领短袖短上衣配黑蓝丹宁粉边短褶裙，黑小包和灰粉复杂运动鞋。裙鞋同方向，适合典型社交表达，不作为纯基础学院风。
o0249	ai_candidate	skirt	mesh_corset_crop_plain_straight_midi_skirt	top	1	black_denim_pink	black,denim_blue,pink	dressy	occasion_with_statement	typical	spring,autumn	social,creative	{"edge":0.84,"noir":0.60,"flou":0.37}	短网纱束腰与长直素裙形成甜酷长短反差，素包靴让主视觉明确	unknown	黑网纱丹宁粉边喇叭袖短上装配素黑直中长裙，黑半月包和黑长靴。下裙前开缝可见，未据此保证行走舒适；比上下都层纱更克制。
o0250	ai_candidate	skirt	fitted_racer_tank_plain_long_a_skirt	top,skirt	1	ice_blue_charcoal	ice_blue,charcoal	casual	everyday	easy	summer	daily,social	{"iced":0.73,"loop":0.71,"mute":0.64,"edge":0.40}	无袖贴身与素长A线清楚，暗色厚底鞋稍硬，不足改变主衣的安静特征	unknown	浅蓝削肩背心、炭灰素长A裙，黑翻盖肩包和暗酒红厚底玛丽珍。上下形成简洁对比，作为夏季易穿候选，不作高彩或解构推荐。
o0251	ai_candidate	skirt	band_shirt_short_pleated_skirt	top,skirt	1	ice_blue_charcoal	ice_blue,charcoal	casual	everyday_with_statement	explore	spring,autumn	daily,commute	{"heir":0.74,"loop":0.73,"iced":0.65,"oops":0.32}	小立领与短百褶为规整学院基底，只有包错位拼片，不能归整套OOPS	unknown	浅蓝立领长袖衬衫、炭灰短百褶裙，灰黄蓝拼包与黑乐福。属于基础主衣的轻探索，换包版本不增加独立主轮廓数量。
o0252	ai_candidate	skirt	plain_dark_shirt_soft_long_a_skirt	top,skirt	1	charcoal_blue_navy	charcoal,blue	casual	everyday_with_statement	typical	spring,autumn	daily,social	{"loop":0.70,"flou":0.65,"mute":0.60,"edge":0.38}	素长袖衬衫加流动A裙是安静比例，深色鞋的花边不等于强肩NOIR	unknown	炭灰翻领衬衫、素蓝长A裙，藏蓝桶包和黑花边系带低鞋。主衣宽松柔和，场景为日常社交，未推断身体适配。
o0253	ai_candidate	skirt	angular_fitted_waistcoat_layered_short_skirt	top,skirt	1	black_burgundy	black,burgundy	dressy	occasion_with_statement	typical	spring,summer	social,creative	{"noir":0.82,"edge":0.73,"bolt":0.46}	双尖翻领束腰马甲与锐角层短裙呼应，低彩和尖线共同支持NOIR，而非仅黑色	unknown	黑酒红收腰尖摆无袖马甲、黑皮感斜层短裙，黑几何包及灰粉厚运动鞋。上下同语言有结构焦点，属强表达社交，不默认正式礼仪。
o0254	ai_candidate	skirt	bright_crop_top_plain_a_midi_skirt	top	1	saturated_top_ice_blue_skirt	blue,orange,lime,pink,ice_blue	casual	occasion_with_statement	typical	spring,summer	social,creative	{"neon":0.78,"oops":0.56,"edge":0.43}	短高彩主上衣与素A裙建立主次，鞋包压低彩度，比同色满套更清晰	unknown	蓝橙绿粉斜片短背心、浅蓝素A中长裙，素黑流苏包和黑粉系带高靴。表达集中上半身，鞋型仍较戏剧，限社交创意而非易穿位。
o0255	needs_review	skirt	bright_patch_crop_short_layered_skirt	top,skirt	1	blue_orange_lime_pink	blue,orange,lime,pink	dressy	statement_not_daily	explore	summer	creative	{"neon":0.84,"oops":0.76,"edge":0.45}	高彩运动拼片上下包均强，换图案高跟未修复主次竞争	multiple_focal_competition	彩拼无袖短上衣、彩拼多层短裙、同色复杂包，脚为粉黑图案后绊高跟。和o0223是同类过密问题，不因鞋型变化重新判为合格易穿。
