token	category	subcategory	neckline	sleeve	length	volume	pattern	decoration	material_appearance	evidence
g0002	top	shirt	point_collar	long	regular	straight	solid	low	woven	炭灰长袖尖领衬衫，直线衣身和克制门襟
g0003	bottom	trousers	unknown	unknown	long	wide	solid	low	woven	黑色高腰宽腿裤，前褶和完整裤脚可见
g0004	shoes	loafers	unknown	unknown	unknown	unknown	solid	low	smooth	黑色乐福鞋，成双、低跟、鞋头完整
g0005	bag	tote	unknown	unknown	unknown	structured	solid	low	smooth	黑色宽手柄托特，几何分片而无醒目装饰
g0008	top	sheer_shirt	point_collar	long	regular	straight	solid	low	sheer	冰蓝透明感衬衫，长袖尖领，穿着时需考虑内搭
g0012	top	polo	polo	short	regular	fitted	solid	low	knit	藏蓝短袖 Polo，清晰领型、收净衣身
g0015	bag	structured_handbag	unknown	unknown	unknown	structured	solid	medium	smooth	酒红硬挺手提包，有金色锁扣
g0059	scarf	neck_scarf	unknown	unknown	short	fluid	botanical	medium	satin_like	米白黑色植物感印花小巾，红色细节点缀
g0063	bottom	modular_cargo	unknown	unknown	long	wide	colorblock	high	woven	米灰分片多袋宽裤，层叠结构明显，不是基本直筒裤
g0069	shoes	knee_boots	unknown	unknown	knee	structured	solid	medium	glossy	黑色尖头细高跟长靴，锐利鞋头与硬朗鞋面
g0082	top	sleeveless_shirt	point_collar	sleeveless	regular	fitted	solid	low	woven	浅蓝无袖扣衬衫，腰线较收，领口清楚
g0092	top	tshirt	crew	short	regular	straight	solid	low	jersey_like	奶油白短袖圆领 T，胸前小口袋
g0099	top	blouse	boat	elbow	regular	loose	solid	low	fluid	米白宽船领中袖上衣，整体松弛、装饰少
g0108	top	shirt	point_collar	long	regular	straight	solid	low	woven	白色长袖尖领基本衬衫，单口袋
g0113	top	shirt	point_collar	long	regular	straight	textured	low	woven	蓝灰纹理衬衫，纹理尺度小，具体织物成分未知
g0114	top	shirt	point_collar	long	regular	straight	solid	low	woven	浅蓝长袖领衬衫，肩袖及衣身直线清楚
g0126	top	shirt	point_collar	long	regular	straight	solid	low	woven	炭灰长袖经典衬衫，低装饰直身
g0130	outer	zip_jacket	point_collar	long	cropped	boxy	solid	low	woven	浅蓝短拉链夹克，宽松方形衣身
g0145	outer	blazer	notch	long	hip	structured	solid	low	woven	米灰单扣长西装，翻领、腰线和袋口明确
g0161	bottom	jeans	unknown	unknown	long	straight	washed	low	denim_like	浅洗水蓝直腿牛仔裤，腰与脚口完整
g0172	bottom	culottes	unknown	unknown	cropped	wide	solid	low	woven	米白前褶阔腿短裤，明显比长裤短
g0173	bottom	jeans	unknown	unknown	long	wide	washed	low	denim_like	中蓝洗水宽牛仔裤，腿部较 g0161 宽
