group_id	member_tokens	rationale	boundary	source_sheets
tailored_full_wide_frontpleat	g0018,g0172,g0181,g0183,g0420	米白卡其浅蓝的前褶长阔西裤延续第1页深色款的平整腰头和松大裤腿	跨页比较后归同视觉家族；保留布面亮哑、前褶及下摆堆量差异，不当色差增加款式	family-components-01.jpg,family-components-04.jpg
tailored_straight_tapered_ankle	g0160,g0162,g0178,g0184	普通西裤腰头、中缝、较窄直锥腿及清楚脚踝长度相近	与大阔拖长裤分开，浅灰浅蓝颜色不能抵消同型重复体感	family-components-04.jpg
tailored_straight_wide_plain	g0168,g0180	浅蓝和米色普通扣腰直宽长裤，与第1页黑色g0003/g0174体积接近	保留浅色款前褶和裤长细差，仍不算不同大轮廓	family-components-01.jpg,family-components-04.jpg
denim_straight_wide_fivepocket	g0161,g0173,g0185	浅蓝中蓝五袋牛仔长直腿，与第1页g0179等的主体版型相近	洗白位置和颜色深浅是变体，不能只换牛仔蓝度就算新裤型	family-components-01.jpg,family-components-04.jpg
cropped_tapered_plain_jeans	g0167	浅洗蓝五袋牛仔腿较短且向脚口收窄，与长直宽腿分开	不由牛仔材质相同直接合并，保留长度和裤脚松量维度	family-components-04.jpg
plain_ivory_barrel_cropped_pants	g0165	奶白普通硬腰、臀腿有圆弧容量且裤脚收窄，短裤长明显	与中缝直锥西裤及拖长阔裤分开，不把白色当同款依据	family-components-04.jpg
plain_cream_cropped_culottes	g0177	奶白大宽裤腿在较短长度停止，下半身呈宽短比例	与同色长阔西裤区分，短宽结构不能在覆盖中被抹去	family-components-04.jpg
oriental_sidepanel_wide_pants	g0058,g0412	长宽裤以浅色主体和侧面墨花或纱感裹片配红细结，东方轻线条近似	g0058绿纱更柔、g0412黑墨更利落；不是同工艺，但有共享视觉公式	family-components-04.jpg
light_layered_utility_wide_pants	g0063,g0397	浅灰米色阔裤叠加长工具袋、侧片与固定带，结构复杂度和体积接近	g0063有更明显前围片，g0397长侧袋更直；区别于毛边自然款	family-components-04.jpg
pink_drawstring_soft_wide_pants	g0405,g0421	奶白绳腰与浅粉柔绒感宽裤、底部堆褶高度相近，抽绳小球重复	口袋位置和粉度差异保留，不当独立新主款	family-components-04.jpg
pastel_floral_panel_flare_pants	g0407,g0423	浅粉绿花纱包绕浅色两裤腿，喇摆与不齐侧片形成同类柔美结构	g0407有丹宁硬腰、g0423软裹腰不同；看图确认均为裤，不与相似花裙跨品类合并	family-components-04.jpg
classic_pointcollar_pocket_shirt	g0002,g0126	黑灰素尖领长袖扣衬衫与第3页蓝白基础款共享弧摆和常规衫体	g0002无明显胸袋而g0126有袋，记录细节但不把基础换色堆成不同款式	family-components-03.jpg,family-components-05.jpg
vintage_floral_denim_patch_shirt	g0052,g0347	棕领、旧蓝丹宁与暖褐花片、单胸袋和宽弧摆反复同构	保留花纹分布及袖口宽窄，粗旧混材区别于普通印花单衫	family-components-05.jpg
raw_hooded_patch_sweatshirt	g0071	灰棕洗蓝破片帽衫，有帽子及罗纹底边，不是普通长袖衬衫	机器相似来自宽长袖轮廓，不能据此和无帽开襟衫归组	family-components-05.jpg
plain_cowl_draped_longtop	g0105,g0561	素深色垂领、胸前自然弧褶和常规长袖形成共通主语言	g0105更贴体袖窄、g0561较松且收袖，保留松量差异；无碎片叠层	family-components-05.jpg
bandcollar_hidden_float_blouse	g0111	小立领隐藏前襟、柔软弧摆与收口长袖，整体比挺括扣衫更浮松	不因灰色就并入黑基础衬衫，也无帽衫罗纹结构	family-components-05.jpg
plain_pocket_crew_sweatshirt	g0127	圆领、胸口袋、袖腰罗纹和整洁卫衣衫体，没有开襟或垂领	与同色衬衫和贴体针织分开，不让外轮廓候选自动合并	family-components-05.jpg
crew_side_ruched_asym_top	g0321	素黑圆领、侧腰集中垂褶和不齐下摆区别于普通平摆圆领衫	虽然无亮色，结构褶线足够区别于g0337基础长袖	family-components-05.jpg
classic_fitted_crew_longtop	g0337	黑色合体圆领长袖、均匀平整面和普通下摆为单独基本款	与宽松侧褶衫和垂领衫分开，不能用黑色平均色并组	family-components-05.jpg
asym_botanical_layered_shirt	g0335	普通尖领外混灰蓝棕花片，前襟与下摆多层错位，非简单印花	与g0052/g0347花丹宁衬衫相关但更明显叠层，保留独立款式组	family-components-05.jpg
contrast_scarf_cowl_blouse	g0339	藏蓝垂领长袖上有奶白长围巾结与飘带，胸颈视觉明确	不并入没有飘带的深色素垂领衫，避免删掉主装饰差异	family-components-05.jpg
raw_patch_cowl_layered_top	g0351	灰棕洗蓝多层破片垂领、异长下摆及宽袖都参与错位	与纯色垂领衫分开，不把柔软低彩当同款式	family-components-05.jpg
large_floral_dark_classic_shirt	g0353	暗底大灰花与常规翻领长袖，图案尺度和对比明显大于细植物基础衫	与第3页小低对比花衫有关联但保持独立视觉组，不宣称同花型	family-components-05.jpg
natural_sleeveless_tie_layer_top	g0358	灰褐橄榄无袖结片罩衫，侧袋与下摆多幅外展，肩袖结构与长袖组不同	不是同色长袖衫的换色版本，保留袖型及叠片关系	family-components-05.jpg
